release_date,channel,version,dart_sdk_version,engine_commit,snapshot_hash
2023-01-23T19:48:31.546617Z,stable,3.3.10,2.18.6,3316dd8728419ad3534e3f6112aa6291f587078a,b6d0a1f034d158b0d37b51d559379697
2023-01-11T18:15:03.971610Z,beta,3.7.0-1.4.pre,2.19.0 (build 2.19.0-444.4.beta),ac5c83dd5ff1ddfae2f642401f67db550428aee3,501ef5cbd64ca70b6b42672346af6a8a
2023-01-05T17:47:42.981002Z,beta,3.7.0-1.3.pre,2.19.0 (build 2.19.0-444.3.beta),7b8906637ffd2b4cfde561f40a6f4eaab6bade13,501ef5cbd64ca70b6b42672346af6a8a
2022-12-20T01:59:20.718823Z,beta,3.7.0-1.2.pre,2.19.0 (build 2.19.0-444.2.beta),8c99b0feaf9715af490612f00954c6a76374a907,501ef5cbd64ca70b6b42672346af6a8a
2022-12-08T18:10:44.186943Z,beta,3.7.0-1.1.pre,2.19.0 (build 2.19.0-444.1.beta),4971c5b2e7e66cb7abc858b4e0203ce7d39f6ff1,c7dc2f8f88f49836586d90b0dbf9d45d
2022-11-23T16:40:32.603420Z,stable,3.3.9,2.18.5,8f2221fbef28b478debb78dd233f5250b220ca99,b0e899ec5a90e4661501f0b69e9dd70f
2022-11-17T19:46:51.911076Z,beta,3.6.0-0.1.pre,2.19.0 (build 2.19.0-374.1.beta),b754eabc98fb5dc75d90b8b5fca440ce8aac4c44,1bd8ca171064c8b8d387e47f96375a6f
2022-11-09T18:13:11.974062Z,stable,3.3.8,2.18.4,857bd6b74c5eb56151bfafe91e7fa6a82b6fee25,b0e899ec5a90e4661501f0b69e9dd70f
2022-11-02T17:48:40.430644Z,stable,3.3.7,2.18.4,857bd6b74c5eb56151bfafe91e7fa6a82b6fee25,b0e899ec5a90e4661501f0b69e9dd70f
2022-10-26T16:52:00.298277Z,stable,3.3.6,2.18.2,3ad69d7be3a7231aab5525db322fc699f098315f,b0e899ec5a90e4661501f0b69e9dd70f
2022-10-19T22:16:09.519089Z,stable,3.3.5,2.18.2,3ad69d7be3a7231aab5525db322fc699f098315f,b0e899ec5a90e4661501f0b69e9dd70f
